"","V1_v_high","V1_v_low","V1_v_med","V1_v_vhigh","V2_v_high","V2_v_low","V2_v_med","V2_v_vhigh","V3_v_2","V3_v_3","V3_v_4","V3_v_5more","V4_v_2","V4_v_4","V4_v_more","V5_v_big","V5_v_med","V5_v_small","V6_v_high","V6_v_low","V6_v_med","V7"
"1",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"2",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"3",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"4",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"5",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"6",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"9",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"11",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"12",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,"unacc"
"14",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"15",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,"unacc"
"16",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"17",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"18",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,"unacc"
"20",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"21",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"22",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"23",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"24",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,"unacc"
"25",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"26",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,"unacc"
"27",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,"unacc"
"28",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,"unacc"
