"","V1","V2","V3","V4","V5","V6","V7"
"1","vhigh","vhigh","2","2","small","low","unacc"
"2","vhigh","vhigh","2","2","small","med","unacc"
"3","vhigh","vhigh","2","2","small","high","unacc"
"4","vhigh","vhigh","2","2","med","low","unacc"
"5","vhigh","vhigh","2","2","med","med","unacc"
"6","vhigh","vhigh","2","2","med","high","unacc"
"7","vhigh","vhigh","2","2","big","low","unacc"
"8","vhigh","vhigh","2","2","big","med","unacc"
"9","vhigh","vhigh","2","2","big","high","unacc"
"10","vhigh","vhigh","2","4","small","low","unacc"
"11","vhigh","vhigh","2","4","small","med","unacc"
"12","vhigh","vhigh","2","4","small","high","unacc"
"13","vhigh","vhigh","2","4","med","low","unacc"
"14","vhigh","vhigh","2","4","med","med","unacc"
"16","vhigh","vhigh","2","4","big","low","unacc"
"17","vhigh","vhigh","2","4","big","med","unacc"
"19","vhigh","vhigh","2","more","small","low","unacc"
"20","vhigh","vhigh","2","more","small","med","unacc"
"21","vhigh","vhigh","2","more","small","high","unacc"
"22","vhigh","vhigh","2","more","med","low","unacc"
"23","vhigh","vhigh","2","more","med","med","unacc"
"24","vhigh","vhigh","2","more","med","high","unacc"
"26","vhigh","vhigh","2","more","big","med","unacc"
"27","vhigh","vhigh","2","more","big","high","unacc"
"28","vhigh","vhigh","3","2","small","low","unacc"
"30","vhigh","vhigh","3","2","small","high","unacc"
"31","vhigh","vhigh","3","2","med","low","unacc"
"33","vhigh","vhigh","3","2","med","high","unacc"
"34","vhigh","vhigh","3","2","big","low","unacc"
"36","vhigh","vhigh","3","2","big","high","unacc"
"37","vhigh","vhigh","3","4","small","low","unacc"
"38","vhigh","vhigh","3","4","small","med","unacc"
"40","vhigh","vhigh","3","4","med","low","unacc"
"41","vhigh","vhigh","3","4","med","med","unacc"
"42","vhigh","vhigh","3","4","med","high","unacc"
"43","vhigh","vhigh","3","4","big","low","unacc"
"44","vhigh","vhigh","3","4","big","med","unacc"
"45","vhigh","vhigh","3","4","big","high","unacc"
"46","vhigh","vhigh","3","more","small","low","unacc"
"48","vhigh","vhigh","3","more","small","high","unacc"
"49","vhigh","vhigh","3","more","med","low","unacc"
"52","vhigh","vhigh","3","more","big","low","unacc"
"53","vhigh","vhigh","3","more","big","med","unacc"
"54","vhigh","vhigh","3","more","big","high","unacc"
"55","vhigh","vhigh","4","2","small","low","unacc"
"57","vhigh","vhigh","4","2","small","high","unacc"
"58","vhigh","vhigh","4","2","med","low","unacc"
"59","vhigh","vhigh","4","2","med","med","unacc"
"60","vhigh","vhigh","4","2","med","high","unacc"
"61","vhigh","vhigh","4","2","big","low","unacc"
"62","vhigh","vhigh","4","2","big","med","unacc"
"63","vhigh","vhigh","4","2","big","high","unacc"
"64","vhigh","vhigh","4","4","small","low","unacc"
"65","vhigh","vhigh","4","4","small","med","unacc"
"66","vhigh","vhigh","4","4","small","high","unacc"
"67","vhigh","vhigh","4","4","med","low","unacc"
"69","vhigh","vhigh","4","4","med","high","unacc"
"70","vhigh","vhigh","4","4","big","low","unacc"
"71","vhigh","vhigh","4","4","big","med","unacc"
"72","vhigh","vhigh","4","4","big","high","unacc"
"73","vhigh","vhigh","4","more","small","low","unacc"
"74","vhigh","vhigh","4","more","small","med","unacc"
"75","vhigh","vhigh","4","more","small","high","unacc"
"76","vhigh","vhigh","4","more","med","low","unacc"
"77","vhigh","vhigh","4","more","med","med","unacc"
"78","vhigh","vhigh","4","more","med","high","unacc"
"79","vhigh","vhigh","4","more","big","low","unacc"
"81","vhigh","vhigh","4","more","big","high","unacc"
